age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
18,119,23,TRUE,Second,College,White,Female,TRUE
13,135,34,TRUE,First,Secondary,White,Male,TRUE
16,129,72,TRUE,Second,College,Black,Female,TRUE
14,65,4,TRUE,First,Secondary,White,Male,TRUE
12,85,6,TRUE,First,Secondary,Other,Female,TRUE
17,158,37,TRUE,First,Graduate,White,Female,TRUE
14,36,2,TRUE,First,Some Graduate,Other,Male,TRUE
14,148,15,TRUE,First,Some College,Other,Male,TRUE
12,30,0,TRUE,Third,Secondary,White,Female,TRUE
16,105,1,TRUE,First,Some College,White,Male,TRUE
13,78,0,TRUE,First,Some College,Other,Male,TRUE
16,189,104,TRUE,Fourth,Some College,Black,Female,TRUE
13,80,15,TRUE,Second,Some College,Other,Male,TRUE
12,53,14,TRUE,First,Secondary,Other,Female,TRUE
12,94,5,TRUE,First,Secondary,White,Male,TRUE
18,367,194,TRUE,First,College,White,Female,TRUE
13,110,40,TRUE,Second,Some Graduate,Other,Male,TRUE
12,79,21,TRUE,First,College,Other,Female,TRUE
18,207,118,TRUE,Second,Graduate,White,Male,TRUE
15,326,106,TRUE,Second,College,Asian,Female,TRUE
12,98,5,TRUE,First,Secondary,White,Male,TRUE
17,259,43,TRUE,Second,College,White,Male,TRUE
13,152,31,TRUE,First,College,Other,Male,TRUE
12,185,5,TRUE,Second,Graduate,Black,Female,TRUE
16,191,38,TRUE,Second,College,Other,Male,TRUE
13,114,31,TRUE,Second,Secondary,White,Male,TRUE
12,44,11,TRUE,First,Graduate,Other,Male,TRUE
12,118,16,TRUE,Third,Some Secondary,Black,Male,TRUE
13,24,1,TRUE,Fourth,Secondary,White,Male,TRUE
12,19,1,TRUE,Fourth,Secondary,White,Male,TRUE
10,15,0,TRUE,Fourth,Some College,Black,Female,TRUE
10,17,0,TRUE,Fourth,Some College,Asian,Male,TRUE
10,59,6,TRUE,Third,Graduate,Black,Male,TRUE
11,35,4,TRUE,Second,College,Asian,Female,TRUE
10,86,1,TRUE,Second,Graduate,Asian,Female,TRUE
10,42,15,TRUE,First,Some College,Asian,Male,TRUE
10,40,4,TRUE,Second,Some College,Black,Male,TRUE
10,18,6,TRUE,First,Graduate,Black,Female,TRUE
10,25,1,TRUE,First,College,Black,Male,TRUE
10,4,0,TRUE,Third,College,Black,Male,TRUE
11,51,6,TRUE,First,College,Asian,Female,TRUE
